"","Date","Load","Load.1","Load.7","Temp","Temp_s95","Temp_s99","Temp_s95_min","Temp_s95_max","Temp_s99_min","Temp_s99_max","toy","WeekDays","BH","Year","Month","DLS","Summer_break","Christmas_break","GovernmentResponseIndex","Time"
"1",2012-01-01,51491.5,51491.5,51491.5,11.4693390582745,11.5312728001858,11.3988420834359,11.1276968510657,12.1628313137248,11.2937467037742,11.5408651819584,0.0013377355268401,"Sunday",1,2012,1,"1","0","20",0,15340
"2",2012-01-02,60683.6458333333,51491.5,60683.6458333333,8.13686352111385,9.51461877540745,10.8171074627074,7.71289095695607,11.1107011246761,10.084668137331,11.3657069689752,0.00407013149655604,"Monday",0,2012,1,"1","0","20",0,15341
"3",2012-01-03,67762.1041666667,60683.6458333333,67762.1041666667,8.53824331638023,8.03843736505437,9.6334052573171,6.94991173126018,9.18760294644903,9.45586035245482,10.0457951401682,0.00680252746627199,"Tuesday",0,2012,1,"1","0","0",0,15342
"4",2012-01-04,68029.2291666667,67762.1041666667,68029.2291666667,8.2510577360432,8.51099050431338,9.26614235914179,8.09989977033131,8.93296490281667,9.06151828810164,9.53938056641321,0.00953492343598793,"Wednesday",0,2012,1,"1","0","0",0,15343
"5",2012-01-05,69157.3958333333,68029.2291666667,69157.3958333333,9.2786173314307,8.86904849770538,9.05635942054534,8.20534145949501,9.63150059059989,8.93059867067588,9.20247953426239,0.0122673194057039,"Thursday",0,2012,1,"1","0","0",0,15344
"6",2012-01-06,69059.2708333333,69157.3958333333,69059.2708333333,6.88199933913433,7.94816082117497,8.74926736178688,6.66012599208966,9.27820454668,8.26393762785087,9.15604636190505,0.0149997153754198,"Friday",0,2012,1,"1","0","0",0,15345
"7",2012-01-07,63160.5625,69059.2708333333,63160.5625,7.58871214943427,7.03491806419712,7.99453433340499,6.06765050473757,8.09350050153493,7.82280049159507,8.23221930420394,0.0177321113451358,"Saturday",0,2012,1,"1","0","0",0,15346
"8",2012-01-08,59032.9791666667,63160.5625,51491.5,7.95488662375887,8.04966905111088,8.05115663043869,7.72699808319048,8.4973431265767,7.97445793361052,8.13863959579477,0.0204645073148517,"Sunday",0,2012,1,"1","0","0",0,15347
"9",2012-01-09,67236.9791666667,59032.9791666667,60683.6458333333,7.46009357314569,7.59355322550168,7.87709919241502,7.02962223363508,8.19901428064617,7.76021023187631,8.00642557900747,0.0231969032845677,"Monday",0,2012,1,"1","0","0",0,15348
"10",2012-01-10,68558.0416666667,67236.9791666667,67762.1041666667,7.0225634020802,7.14887307448379,7.59373984329347,6.21393797226616,8.10480459328002,7.40210949921573,7.79897340807398,0.0259292992542836,"Tuesday",0,2012,1,"1","0","0",0,15349
"11",2012-01-11,69084.5833333333,68558.0416666667,68029.2291666667,6.09451322411553,6.50909326444761,7.20702461908413,5.67704567760872,7.41416750342794,7.00198095095305,7.51515580021765,0.0286616952239995,"Wednesday",0,2012,1,"1","0","0",0,15350
"12",2012-01-12,71466.0416666667,69084.5833333333,69157.3958333333,4.76364373434947,5.10822200630199,6.43410728006231,4.11334077466108,5.98688814255793,6.19205923181956,6.96727693091721,0.0313940911937155,"Thursday",0,2012,1,"1","0","0",0,15351
"13",2012-01-13,71118.3333333333,71466.0416666667,69059.2708333333,4.56724319392112,4.84321003482974,5.83310038152451,4.23511235184194,5.44905568386769,5.57831029237549,6.16942811318557,0.0341264871634314,"Friday",0,2012,1,"1","0","0",0,15352
"14",2012-01-14,67795.375,71118.3333333333,63160.5625,2.26639166688036,3.11872633047217,4.86106202257577,2.3789414296742,4.42586578918766,4.32028830173529,5.54350016242471,0.0368588831331474,"Saturday",0,2012,1,"1","0","0",0,15353
"15",2012-01-15,68019.5833333333,67795.375,59032.9791666667,1.28677439543521,1.55092149681232,3.58623054755529,0.488586636047963,2.35842916501686,3.20540047040434,4.27895383977057,0.0395912791028633,"Sunday",0,2012,1,"1","0","0",0,15354
"16",2012-01-16,76417.6666666667,68019.5833333333,67236.9791666667,1.58858587280425,1.54637219295215,2.78332638138987,0.523496102780756,2.62273153103147,2.58770706869737,3.17689909727925,0.0423236750725793,"Monday",0,2012,1,"1","0","0",0,15355
"17",2012-01-17,78678.4375,76417.6666666667,68558.0416666667,1.70247764022775,1.51440179866336,2.28327636071039,0.160640732709394,2.77636043626292,2.00662584416207,2.59813417947394,0.0450560710422952,"Tuesday",0,2012,1,"1","0","0",0,15356
"18",2012-01-18,78560.6875,78678.4375,69084.5833333333,4.14860335762667,3.1169623853618,2.52331830149123,1.66645564152572,4.91587144550804,2.1624827346877,3.1325499623157,0.0477884670120112,"Wednesday",0,2012,1,"1","0","0",0,15357
"19",2012-01-19,73027.2083333333,78560.6875,71466.0416666667,8.25877221691768,6.73777165039558,4.04309974568042,4.93310418902211,8.75839919251125,3.15382972585044,5.17651237261256,0.0505208629817271,"Thursday",0,2012,1,"1","0","0",0,15358
